,% Missing
ID,0.0
SITE_ID,0.0
FILE_ID,0.0
DX_GROUP,0.0
AGE_AT_SCAN,0.0
SEX,0.0
HANDEDNESS_CATEGORY,29.31654676258993
FIQ,6.474820143884892
VIQ,17.535971223021583
PIQ,16.276978417266186
FIQ_TEST_TYPE,15.197841726618705
VIQ_TEST_TYPE,25.0
PIQ_TEST_TYPE,23.29136690647482
ADI_R_SOCIAL_TOTAL_A,66.00719424460432
ADI_R_VERBAL_TOTAL_BV,65.91726618705036
ADI_RRB_TOTAL_C,66.00719424460432
ADI_R_RSRCH_RELIABLE,64.83812949640287
ADOS_MODULE,54.406474820143885
ADOS_TOTAL,62.67985611510792
ADOS_COMM,64.92805755395683
ADOS_SOCIAL,64.83812949640287
ADOS_RSRCH_RELIABLE,66.18705035971223
SRS_RAW_TOTAL,67.17625899280576
CURRENT_MED_STATUS,27.158273381294965
EYE_STATUS_AT_SCAN,0.0
anat_cnr,1.169064748201439
anat_efc,1.169064748201439
anat_fber,1.169064748201439
anat_fwhm,1.169064748201439
anat_qi1,1.169064748201439
anat_snr,1.169064748201439
func_efc,1.169064748201439
func_fber,1.169064748201439
func_fwhm,1.169064748201439
func_dvars,1.169064748201439
func_outlier,1.169064748201439
func_quality,1.169064748201439
func_mean_fd,1.169064748201439
func_num_fd,1.169064748201439
func_perc_fd,1.169064748201439
func_gsr,1.169064748201439
qc_rater_1,0.0
qc_anat_rater_2,1.079136690647482
qc_func_rater_2,1.079136690647482
qc_anat_rater_3,0.08992805755395683
qc_func_rater_3,0.08992805755395683
SUB_IN_SMP,0.0
