,DX_GROUP,ADI_R_SOCIAL_TOTAL_A,ADI_R_VERBAL_TOTAL_BV,ADI_RRB_TOTAL_C,ADI_R_RSRCH_RELIABLE,ADOS_MODULE,ADOS_TOTAL,ADOS_COMM,ADOS_SOCIAL,ADOS_RSRCH_RELIABLE,SRS_RAW_TOTAL,AGE_AT_SCAN,SEX,EYE_STATUS_AT_SCAN,SUB_IN_SMP,FIQ,VIQ,PIQ,anat_cnr,anat_efc,anat_fber,anat_fwhm,anat_qi1,anat_snr,func_efc,func_fber,func_fwhm,func_dvars,func_outlier,func_quality,func_mean_fd,func_num_fd,func_perc_fd,func_gsr,ID
DX_GROUP,1.0,-0.3951086807758761,-0.4010202055474643,-0.29104939899331966,-0.7711512880871095,0.3433674624575201,0.05073613249480837,-0.13057343343968303,0.019368486561688436,-0.7946915932158712,-0.7773915896972288,0.021020755833502894,0.07354607028394629,0.016292378822385142,0.03813743988464082,0.1974717287485747,0.21714684979256207,0.10481139329707871,0.05093437127587719,0.003405340950871666,-0.001107086152752517,-0.031124536015991647,-0.014700422458701142,0.032223213919482754,-0.048980854804340446,0.0029372817483948725,-0.04032035813416085,-0.022052035111040893,-0.11479502466675304,-0.1153275471211376,-0.20338433907826556,-0.20737841460749523,-0.21097369961606263,-0.048526809343233605,0.06170253569537133
ADI_R_SOCIAL_TOTAL_A,-0.3951086807758761,1.0,0.779985358259266,0.45956168206353326,0.46382504293181653,-0.1929346105752649,0.2692765172585652,0.32227657775927376,0.25625548010799926,0.4934003880149775,0.6056847693933102,0.08019798780706759,-0.02991903943281121,0.04792924595414451,-0.024671789418257966,-0.15969703259769155,-0.1630121760999056,-0.12608053924864573,-0.04122978483589965,0.011901898492297388,-0.0008473815977358125,0.03388219449112709,0.037356801633909545,0.008979936571208007,0.052569760988860854,-0.05021236130689093,0.013162601618039761,0.057196835343888065,0.012377248360346963,0.019660286693206967,0.1129953903255007,0.11167153921296587,0.11268948487948677,0.11011009959575385,-0.05098201403813362
ADI_R_VERBAL_TOTAL_BV,-0.4010202055474643,0.779985358259266,1.0,0.4976499589849794,0.47861178701523055,-0.2290937841098323,0.23671693637520616,0.34040318916054263,0.20866477485525164,0.52080967302673,0.650015460711132,0.057364425435234304,-0.048532870389103366,0.011642112299015302,-0.007783261695983252,-0.13520215696914364,-0.13473750963931097,-0.11388462187898661,-0.008655264787133536,0.0024644622815393922,0.006862306082683038,0.03648086022968026,0.004075768022278626,0.026400125757889057,0.0355577346789683,-0.03801916628977196,0.008897593846005195,0.02946206903609745,0.027321710424040156,0.02740807464310724,0.08972165209199034,0.10554517272038702,0.10720130825820338,0.08474618419451267,-0.03653457034132851
ADI_RRB_TOTAL_C,-0.29104939899331966,0.45956168206353326,0.4976499589849794,1.0,0.37343180668409376,-0.37689475732747296,0.08421770058203254,0.1274676745554397,0.08149318304555377,0.3795188250166513,0.4853312611020311,-0.016447908128459518,-0.0419878474267495,-0.040286471339465876,0.037506893680581035,-0.13554903132715487,-0.1332523372810638,-0.09894581309527478,-0.013722407399015788,0.0843820210659445,-0.10400111339222015,-0.05531600543694628,-0.0066671445772634105,0.008782687345708567,0.05525945910547575,-0.03773797584225346,0.0007245085403640762,0.06892173692305671,-0.027543843192129706,0.06219090636733379,0.10995187209541436,0.10229180123931346,0.10283613057430417,0.08903316072988604,-0.04534986573508808
ADI_R_RSRCH_RELIABLE,-0.7711512880871095,0.46382504293181653,0.47861178701523055,0.37343180668409376,1.0,-0.3789638145535799,0.08947416614177582,0.24163063543230542,0.09070711827487077,0.9567100701825598,0.9200237564685099,-0.02974793374476217,-0.07121906341470044,-0.0068712342660762205,0.005599695366433593,-0.20410084893018676,-0.20733137507491214,-0.1240428468802065,-0.05721443213584872,0.025932418129177234,0.003668325743074603,-0.011989539550348819,-0.07503527649919527,0.004973081944899718,0.11541991517278895,-0.07878211004843226,0.06343951624720603,0.08721351863950641,0.09211904471331503,0.10580419465582654,0.18052344087592856,0.1672654655353948,0.17333358853110284,0.09197168353129154,-0.08107833471270702
ADOS_MODULE,0.3433674624575201,-0.1929346105752649,-0.2290937841098323,-0.37689475732747296,-0.3789638145535799,1.0,-0.01290968436462616,0.03739242558224273,-0.06233005383043181,-0.389772835302807,-0.3611991029729643,0.3941880333616327,0.023973396467600907,0.2071994022854309,-0.020228338281314973,0.18770833102562434,0.1849004334726038,0.16266567388347636,-0.05402171473467509,-0.1323584465447204,0.13349973434692575,0.2788847768281782,0.08457880201318113,0.000658990739887498,-0.024214771908479985,-0.040881882485687235,-0.22494036400834747,-0.08727473998610615,-0.17342284068874345,-0.05409997708813865,-0.15876985756935508,-0.1543647968003216,-0.16352533230318972,0.0029990517640728505,-0.026219655787867672
ADOS_TOTAL,0.05073613249480837,0.2692765172585652,0.23671693637520616,0.08421770058203254,0.08947416614177582,-0.01290968436462616,1.0,0.6772696570038164,0.9043152010303133,0.11672066309830113,0.11286399712158712,-0.005079380719981713,-0.00773205439659486,0.0038963986177445553,-0.02711472774785721,-0.09828249717136159,-0.1243694158687689,-0.06398621493660116,-0.05157226493521834,0.08500796562424988,-0.050351902960782194,-0.029911219582558747,0.06717186407695507,0.027178953500479712,0.07781288855675463,-0.0594304079048609,0.06612590682073002,0.001236340376460615,0.0451490780467571,0.01362200311898695,0.05482764615229287,0.059130761916863034,0.06275032721630347,0.08229342024453638,-0.02141046987674606
ADOS_COMM,-0.13057343343968303,0.32227657775927376,0.34040318916054263,0.1274676745554397,0.24163063543230542,0.03739242558224273,0.6772696570038164,1.0,0.5263692116950265,0.2579519725803926,0.22075994222035678,0.10326861013835104,-0.054714857684876925,0.08153859105012681,-0.01316403393731529,-0.08553568073355274,-0.12783252981265608,-0.036664593759345214,-0.04422034839583019,0.07354259685061261,-0.04306363535849555,0.0284404957149711,0.10645310802624684,0.01663935724341559,0.04042399513782546,-0.03647818837855655,0.05377213291749399,0.08616533593625676,-0.04869827909370123,-0.053677392570670876,0.048052170214625774,0.03992528627319165,0.04229971574134243,0.11771602231865909,-0.07692073077732342
ADOS_SOCIAL,0.019368486561688436,0.25625548010799926,0.20866477485525164,0.08149318304555377,0.09070711827487077,-0.06233005383043181,0.9043152010303133,0.5263692116950265,1.0,0.12947188795435594,0.13581000992838818,-0.04665757366518826,0.0015165920755570814,-0.013249923786605671,-0.013556770977143688,-0.11948855411641572,-0.14177731645921793,-0.09272682781935157,-0.06585212217266877,0.07666851603685797,-0.05424910877311692,-0.07236610244486814,0.045441734340475604,0.0016339094320855308,0.06824986807402021,-0.04039527464222965,0.07834938157021148,0.028991234628811268,0.06859895606887467,0.00465760392402723,0.06368706912838902,0.06272307477879152,0.07176491418596335,0.054228188539301905,-0.0025555306789999954
ADOS_RSRCH_RELIABLE,-0.7946915932158712,0.4934003880149775,0.52080967302673,0.3795188250166513,0.9567100701825598,-0.389772835302807,0.11672066309830113,0.2579519725803926,0.12947188795435594,1.0,0.9490937461458889,-0.030339618836617423,-0.052018830215097914,-0.012359790193941091,-0.015490755895210713,-0.21043418740089173,-0.21481281304981867,-0.13001463858591433,-0.041696917900946436,-0.0027150684826307892,0.02982237770570074,0.0005084793970278716,-0.06932733154125043,0.004237074039353692,0.09560795273823092,-0.05629845011148238,0.053164750183214676,0.056647507253929266,0.12134352502444082,0.12163811860968325,0.1868802340002111,0.17772395492384574,0.1830201562174654,0.06193744200349668,-0.06839135734197267
